Hz,dB,correct,age ,gender ,subjecy No.
1500,32,2,20,1,1
3000,32,7,20,1,1
4500,32,10,20,1,1
6000,32,9,20,1,1
7500,32,8,20,1,1
1500,32,4,21,1,2
3000,32,1,21,1,2
4500,32,2,21,1,2
6000,32,9,21,1,2
7500,32,5,21,1,2
1500,32,4,22,2,3
3000,32,5,22,2,3
4500,32,5,22,2,3
6000,32,10,22,2,3
7500,32,6,22,2,3
1500,32,2,25,2,4
3000,32,3,25,2,4
4500,32,4,25,2,4
6000,32,7,25,2,4
7500,32,5,25,2,4
1500,32,9,27,1,5
3000,32,2,27,1,5
4500,32,3,27,1,5
6000,32,2,27,1,5
7500,32,10,27,1,5
1500,32,8,50,2,6
3000,32,3,50,2,6
4500,32,8,50,2,6
6000,32,6,50,2,6
7500,32,5,50,2,6
1500,32,4,20,1,7
3000,32,8,20,1,7
4500,32,9,20,1,7
6000,32,6,20,1,7
7500,32,12,20,1,7
1500,32,6,22,1,8
3000,32,2,22,1,8
4500,32,4,22,1,8
6000,32,5,22,1,8
7500,32,7,22,1,8
1500,32,4,22,1,9
3000,32,6,22,1,9
4500,32,8,22,1,9
6000,32,9,22,1,9
7500,32,10,22,1,9
1500,48,8,20,1,1
3000,48,11,20,1,1
4500,48,11,20,1,1
6000,48,5,20,1,1
7500,48,9,20,1,1
1500,48,8,21,1,2
3000,48,6,21,1,2
4500,48,5,21,1,2
6000,48,5,21,1,2
7500,48,7,21,1,2
1500,48,8,22,2,3
3000,48,11,22,2,3
4500,48,0,22,2,3
6000,48,4,22,2,3
7500,48,10,22,2,3
1500,48,9,25,2,4
3000,48,5,25,2,4
4500,48,3,25,2,4
6000,48,2,25,2,4
7500,48,6,25,2,4
1500,48,5,27,1,5
3000,48,7,27,1,5
4500,48,11,27,1,5
6000,48,0,27,1,5
7500,48,8,27,1,5
1500,48,7,50,2,6
3000,48,4,50,2,6
4500,48,6,50,2,6
6000,48,7,50,2,6
7500,48,2,50,2,6
1500,48,9,20,1,7
3000,48,5,20,1,7
4500,48,9,20,1,7
6000,48,3,20,1,7
7500,48,6,20,1,7
1500,48,4,22,1,8
3000,48,3,22,1,8
4500,48,8,22,1,8
6000,48,8,22,1,8
7500,48,7,22,1,8
1500,48,7,22,1,9
3000,48,6,22,1,9
4500,48,10,22,1,9
6000,48,3,22,1,9
7500,48,7,22,1,9
1500,64,3,20,1,1
3000,64,4,20,1,1
4500,64,8,20,1,1
6000,64,6,20,1,1
7500,64,12,20,1,1
1500,64,2,21,1,2
3000,64,4,21,1,2
4500,64,3,21,1,2
6000,64,2,21,1,2
7500,64,2,21,1,2
1500,64,4,22,2,3
3000,64,5,22,2,3
4500,64,5,22,2,3
6000,64,5,22,2,3
7500,64,8,22,2,3
1500,64,7,25,2,4
3000,64,5,25,2,4
4500,64,6,25,2,4
6000,64,3,25,2,4
7500,64,8,25,2,4
1500,64,8,27,1,5
3000,64,4,27,1,5
4500,64,3,27,1,5
6000,64,7,27,1,5
7500,64,3,27,1,5
1500,64,6,50,2,6
3000,64,4,50,2,6
4500,64,6,50,2,6
6000,64,6,50,2,6
7500,64,4,50,2,6
1500,64,10,20,1,7
3000,64,9,20,1,7
4500,64,13,20,1,7
6000,64,7,20,1,7
7500,64,9,20,1,7
1500,64,5,22,1,8
3000,64,6,22,1,8
4500,64,8,22,1,8
6000,64,3,22,1,8
7500,64,5,22,1,8
1500,64,8,22,1,9
3000,64,3,22,1,9
4500,64,7,22,1,9
6000,64,6,22,1,9
7500,64,7,22,1,9
1500,80,5,20,1,1
3000,80,6,20,1,1
4500,80,4,20,1,1
6000,80,3,20,1,1
7500,80,8,20,1,1
1500,80,7,21,1,2
3000,80,4,21,1,2
4500,80,4,21,1,2
6000,80,3,21,1,2
7500,80,6,21,1,2
1500,80,6,22,2,3
3000,80,5,22,2,3
4500,80,5,22,2,3
6000,80,2,22,2,3
7500,80,7,22,2,3
1500,80,5,25,2,4
3000,80,6,25,2,4
4500,80,6,25,2,4
6000,80,10,25,2,4
7500,80,3,25,2,4
1500,80,4,27,1,5
3000,80,6,27,1,5
4500,80,2,27,1,5
6000,80,9,27,1,5
7500,80,1,27,1,5
1500,80,5,50,2,6
3000,80,3,50,2,6
4500,80,6,50,2,6
6000,80,6,50,2,6
7500,80,6,50,2,6
1500,80,5,20,1,7
3000,80,10,20,1,7
4500,80,11,20,1,7
6000,80,7,20,1,7
7500,80,10,20,1,7
1500,80,2,22,1,8
3000,80,4,22,1,8
4500,80,5,22,1,8
6000,80,3,22,1,8
7500,80,4,22,1,8
1500,80,6,22,1,9
3000,80,7,22,1,9
4500,80,4,22,1,9
6000,80,3,22,1,9
7500,80,9,22,1,9
0,0,12,20,1,1
0,0,7,20,1,1
0,0,10,20,1,1
0,0,11,20,1,1
0,0,7,21,1,2
0,0,11,21,1,2
0,0,8,21,1,2
0,0,6,21,1,2
0,0,10,22,2,3
0,0,8,22,2,3
0,0,7,22,2,3
0,0,7,22,2,3
0,0,12,25,2,4
0,0,7,25,2,4
0,0,10,25,2,4
0,0,6,25,2,4
0,0,6,27,1,5
0,0,7,27,1,5
0,0,10,27,1,5
0,0,11,27,1,5
0,0,7,50,2,6
0,0,9,50,2,6
0,0,6,50,2,6
0,0,10,50,2,6
0,0,10,20,1,7
0,0,11,20,1,7
0,0,10,20,1,7
0,0,12,20,1,7
0,0,5,22,1,8
0,0,6,22,1,8
0,0,6,22,1,8
0,0,10,22,1,8
0,0,7,22,1,9
0,0,8,22,1,9
0,0,10,22,1,9
0,0,8,22,1,9
